iter	Passed	Remaining
0	95	23901
1	186	23169
2	276	22801
3	364	22418
4	453	22203
5	542	22057
6	626	21764
7	712	21539
8	800	21424
9	882	21189
10	970	21093
11	1056	20952
12	1141	20810
13	1229	20731
14	1314	20599
15	1402	20515
16	1490	20432
17	1573	20276
18	1657	20152
19	1743	20045
20	1833	19997
21	1927	19974
22	2017	19907
23	2107	19843
24	2199	19794
25	2288	19715
26	2376	19630
27	2462	19526
28	2556	19481
29	2640	19364
30	2723	19238
31	2805	19115
32	2894	19032
33	2980	18934
34	3065	18830
35	3153	18744
36	3239	18647
37	3326	18556
38	3410	18452
39	3494	18347
40	3579	18246
41	3663	18144
42	3749	18049
43	3832	17942
44	3918	17852
45	4006	17768
46	4090	17668
47	4175	17570
48	4256	17461
49	4341	17366
50	4424	17263
51	4506	17158
52	4593	17075
53	4676	16972
54	4760	16879
55	4849	16801
56	4937	16717
57	5027	16643
58	5110	16543
59	5195	16451
60	5280	16360
61	5368	16279
62	5454	16189
63	5539	16099
64	5626	16014
65	5716	15936
66	5805	15855
67	5888	15759
68	5971	15664
69	6056	15574
70	6141	15483
71	6226	15393
72	6315	15312
73	6401	15224
74	6485	15133
75	6569	15041
76	6653	14949
77	6740	14864
78	6827	14778
79	6910	14685
80	6994	14594
81	7079	14505
82	7164	14416
83	7253	14334
84	7338	14245
85	7427	14164
86	7509	14070
87	7594	13980
88	7680	13893
89	7762	13800
90	7851	13717
91	7936	13630
92	8020	13539
93	8103	13448
94	8186	13357
95	8279	13280
96	8367	13198
97	8453	13110
98	8537	13022
99	8625	12938
100	8710	12850
101	8796	12763
102	8881	12675
103	8966	12586
104	9051	12500
105	9134	12409
106	9217	12318
107	9301	12229
108	9384	12139
109	9467	12049
110	9551	11960
111	9638	11875
112	9724	11789
113	9813	11707
114	9897	11618
115	9980	11529
116	10066	11443
117	10148	11352
118	10232	11264
119	10318	11178
120	10432	11122
121	10525	11043
122	10613	10958
123	10701	10874
124	10784	10784
125	10868	10695
126	10950	10605
127	11036	10519
128	11123	10433
129	11204	10342
130	11281	10248
131	11365	10160
132	11453	10075
133	11539	9989
134	11623	9901
135	11708	9814
136	11794	9728
137	11878	9640
138	11958	9549
139	12043	9462
140	12132	9379
141	12219	9293
142	12304	9206
143	12387	9118
144	12474	9033
145	12559	8946
146	12646	8860
147	12729	8773
148	12814	8686
149	12898	8599
150	12982	8511
151	13065	8423
152	13145	8333
153	13228	8246
154	13312	8159
155	13397	8072
156	13482	7986
157	13565	7899
158	13648	7811
159	13733	7725
160	13819	7639
161	13901	7551
162	13985	7464
163	14069	7377
164	14153	7291
165	14239	7205
166	14324	7119
167	14408	7032
168	14490	6945
169	14573	6858
170	14659	6772
171	14742	6685
172	14826	6599
173	14909	6512
174	14995	6426
175	15079	6340
176	15165	6254
177	15249	6168
178	15332	6081
179	15417	5995
180	15501	5909
181	15584	5822
182	15667	5736
183	15751	5650
184	15837	5564
185	15925	5479
186	16009	5393
187	16094	5307
188	16178	5221
189	16263	5135
190	16346	5049
191	16434	4964
192	16518	4878
193	16600	4792
194	16687	4706
195	16772	4620
196	16857	4535
197	16941	4449
198	17027	4363
199	17113	4278
200	17196	4192
201	17277	4105
202	17358	4019
203	17445	3933
204	17528	3847
205	17608	3761
206	17693	3675
207	17776	3589
208	17859	3503
209	17940	3417
210	18022	3331
211	18109	3245
212	18191	3160
213	18276	3074
214	18360	2988
215	18445	2903
216	18530	2817
217	18615	2732
218	18702	2647
219	18785	2561
220	18871	2476
221	18958	2391
222	19041	2305
223	19126	2219
224	19208	2134
225	19289	2048
226	19372	1962
227	19457	1877
228	19540	1791
229	19625	1706
230	19707	1620
231	19789	1535
232	19875	1450
233	19960	1364
234	20046	1279
235	20135	1194
236	20217	1108
237	20302	1023
238	20385	938
239	20469	852
240	20552	767
241	20636	682
242	20723	596
243	20808	511
244	20893	426
245	20977	341
246	21060	255
247	21145	170
248	21227	85
249	21311	0
